"region","species","year","size_group_1","size_group_2","entity_1_count_mA","entity_2_count_mB","obs_cooccur_X","total_N","p_value","exp_cooccur","alpha_mle","alpha_medianInt","conf_level","ci_blaker","ci_cp","ci_midQ","ci_midP","jaccard","sorensen","simpson","errornote"
"North Sea","Agonus cataphractus","1985","2","4",10,2,1,198,"0.0987",0.101,2.984,"[2.063, 3.905]",0.95,"[-0.721, 6.688]","[-1.434, 7.402]","[-0.057, 6.024]","[-0.732, 6.7]",0.091,0.167,0.5,NA
"North Sea","Agonus cataphractus","1985","2","5",10,4,1,198,"0.1885",0.202,1.903,"[1.278, 2.574]",0.95,"[-1.43, 4.213]","[-2.141, 4.541]","[-0.89, 3.988]","[-1.448, 4.243]",0.077,0.143,0.25,NA
"North Sea","Agonus cataphractus","1985","3","4",10,2,1,198,"0.0987",0.101,2.984,"[2.063, 3.905]",0.95,"[-0.721, 6.688]","[-1.434, 7.402]","[-0.057, 6.024]","[-0.732, 6.7]",0.091,0.167,0.5,NA
"North Sea","Agonus cataphractus","1985","3","5",10,4,1,198,"0.1885",0.202,1.903,"[1.278, 2.574]",0.95,"[-1.43, 4.213]","[-2.141, 4.541]","[-0.89, 3.988]","[-1.448, 4.243]",0.077,0.143,0.25,NA
"North Sea","Agonus cataphractus","1985","4","5",2,4,2,198,"3e-04",0.04,10,"[5.011, 10]",0.95,"[2.813, 10]","[2.375, 10]","[6.188, 9.265]","[2.813, 10]",0.5,0.667,1,NA
"North Sea","Agonus cataphractus","1986","1","2",16,13,10,198,"1.0346e-10",1.051,4.509,"[4.205, 4.771]",0.95,"[2.903, 6.172]","[2.892, 6.478]","[3.128, 6.093]","[3.046, 6.224]",0.526,0.69,0.769,NA
"North Sea","Agonus cataphractus","1986","1","3",16,21,10,198,"1.0007e-07",1.697,3.214,"[3.03, 3.381]",0.95,"[2.04, 4.577]","[1.919, 4.614]","[2.084, 4.41]","[2.038, 4.467]",0.37,0.541,0.625,NA
"North Sea","Agonus cataphractus","1986","1","4",16,7,4,198,"9e-04",0.566,2.951,"[2.625, 3.261]",0.95,"[1.325, 4.678]","[1.061, 4.983]","[1.393, 4.589]","[1.275, 4.728]",0.211,0.348,0.571,NA
"North Sea","Agonus cataphractus","1986","1","5",16,11,6,198,"3.7916e-05",0.889,3.015,"[2.784, 3.237]",0.95,"[1.514, 4.397]","[1.479, 4.618]","[1.709, 4.362]","[1.637, 4.442]",0.286,0.444,0.545,NA
"North Sea","Agonus cataphractus","1986","2","3",13,21,11,198,"7.1847e-11",1.379,4.497,"[4.138, 4.787]",0.95,"[2.844, 6.451]","[2.811, 6.844]","[3.054, 6.31]","[2.966, 6.498]",0.478,0.647,0.846,NA
"North Sea","Agonus cataphractus","1986","2","4",13,7,4,198,"4e-04",0.46,3.243,"[2.906, 3.565]",0.95,"[1.588, 5.003]","[1.322, 5.31]","[1.663, 4.905]","[1.54, 5.051]",0.25,0.4,0.571,NA
"North Sea","Agonus cataphractus","1986","2","5",13,11,5,198,"2e-04",0.722,2.886,"[2.647, 3.123]",0.95,"[1.5, 4.327]","[1.269, 4.498]","[1.525, 4.243]","[1.444, 4.324]",0.263,0.417,0.455,NA
"North Sea","Agonus cataphractus","1986","3","4",21,7,4,198,"0.0027",0.742,2.586,"[2.27, 2.885]",0.95,"[0.986, 4.285]","[0.725, 4.588]","[1.048, 4.203]","[0.935, 4.336]",0.167,0.286,0.571,NA
"North Sea","Agonus cataphractus","1986","3","5",21,11,8,198,"5.4746e-07",1.167,3.529,"[3.252, 3.766]",0.95,"[2.099, 5.112]","[1.969, 5.409]","[2.192, 5.053]","[2.119, 5.168]",0.333,0.5,0.727,NA
"North Sea","Agonus cataphractus","1986","4","5",7,11,4,198,"2e-04",0.389,3.493,"[3.142, 3.828]",0.95,"[1.806, 5.289]","[1.538, 5.6]","[1.889, 5.182]","[1.759, 5.336]",0.286,0.444,0.571,NA
"North Sea","Agonus cataphractus","1987","1","2",13,7,2,198,"0.0694",0.46,1.859,"[1.508, 2.254]",0.95,"[-0.196, 3.659]","[-0.593, 3.811]","[-0.032, 3.477]","[-0.24, 3.604]",0.111,0.2,0.286,NA
"North Sea","Agonus cataphractus","1987","1","3",13,14,5,198,"8e-04",0.919,2.474,"[2.265, 2.69]",0.95,"[1.158, 3.838]","[0.932, 3.96]","[1.171, 3.743]","[1.099, 3.809]",0.227,0.37,0.385,NA
"North Sea","Agonus cataphractus","1987","1","4",13,23,8,198,"8.6144e-06",1.51,2.866,"[2.665, 3.049]",0.95,"[1.506, 4.128]","[1.492, 4.351]","[1.677, 4.124]","[1.624, 4.189]",0.286,0.444,0.615,NA
"North Sea","Agonus cataphractus","1987","1","5",13,20,9,198,"9.0225e-08",1.313,3.524,"[3.29, 3.728]",0.95,"[2.12, 4.918]","[2.081, 5.17]","[2.278, 4.892]","[2.218, 4.977]",0.375,0.545,0.692,NA
"North Sea","Agonus cataphractus","1987","2","3",7,14,3,198,"0.0084",0.495,2.477,"[2.161, 2.804]",0.95,"[0.745, 4.121]","[0.441, 4.389]","[0.835, 4.049]","[0.696, 4.17]",0.167,0.286,0.429,NA
"North Sea","Agonus cataphractus","1987","2","4",7,23,3,198,"0.0353",0.813,1.842,"[1.545, 2.153]",0.95,"[0.154, 3.434]","[-0.148, 3.696]","[0.232, 3.374]","[0.102, 3.486]",0.111,0.2,0.429,NA
"North Sea","Agonus cataphractus","1987","2","5",7,20,5,198,"1e-04",0.707,3.337,"[2.951, 3.674]",0.95,"[1.634, 5.369]","[1.434, 5.765]","[1.751, 5.211]","[1.633, 5.414]",0.227,0.37,0.714,NA
