"","pair_id","region","species","yearqua","pair_id_x","cpue_length_intersect_yearqua_x","cpue_length_yearqua_x","range_size_x","num_intersect","num_union","pair_id_y","cpue_length_intersect_yearqua_y","cpue_length_yearqua_y","range_size_y","prop_cpue_intersect_x","prop_cpue_intersect_y","area_overlap","overlap_abun_weighted","mean_intersect","mean_union","mean_oa","mean_ow"
"16161","3","Scottish West Coast","Sprattus sprattus",2003.1,1,7784,7784,17,17,28,4,5263.833,7213.833,28,1,0.729686007424902,0.607142857142857,0.854216604512522,18.6,27.4,0.680988681483434,0.879878244047573
"16162","3","Scottish West Coast","Sprattus sprattus",2004.1,1,653.166,657.166,11,10,26,4,594.833,7491.833,25,0.993913257837441,0.0793975252785266,0.384615384615385,0.280916807994486,14.8,24,0.613923035570094,0.566548507344027
"16163","3","Scottish West Coast","Sprattus sprattus",2005.1,1,3220,11221,14,10,20,4,2983,3709,16,0.286961946350593,0.804259908331087,0.5,0.480408148001715,11.2,20.8,0.545447346957644,0.758927556456154
"16164","3","Scottish West Coast","Sprattus sprattus",2006.1,1,7545,7545,11,11,17,4,818,1849,17,1,0.442401297998918,0.647058823529412,0.665132541677911,8.8,16.4,0.542376822523881,0.694328380928359
"16165","3","Scottish West Coast","Sprattus sprattus",2007.1,1,6,39,6,1,12,4,2,389.133,7,0.153846153846154,0.00513963092310341,0.0833333333333333,0.0281196097004958,4.4,12.4,0.374124209124209,0.562872058119341
"16166","3","Scottish West Coast","Sprattus sprattus",2008.1,1,44,46,4,3,9,4,12,448.667,8,0.956521739130435,0.0267458939480728,0.333333333333333,0.159946956813216,3.9,10.1,0.408658008658009,0.686569979251901
"16167","3","Scottish West Coast","Sprattus sprattus",2009.1,1,2642,3652,3,1,5,4,506,700,3,0.723439211391019,0.722857142857143,0.2,0.723148118560047,2.5,6.3,0.403690476190476,0.68371496599692
"16168","3","Scottish West Coast","Sprattus sprattus",2010.1,1,362,362,8,8,13,4,631,727,13,1,0.867950481430536,0.615384615384615,0.931638600225719,7.4,13,0.572317682317682,0.859211650608535
"16169","4","Scottish West Coast","Sprattus sprattus",1985.1,1,35.416,40.416,9,8,11,5,39.75,43.75,10,0.876286619160728,0.908571428571429,0.727272727272727,0.892283018671145,7.7,12.3,0.638721278721279,0.805475565750581
"16170","4","Scottish West Coast","Sprattus sprattus",1986.1,1,1138,1138,3,3,18,5,123,787.167,18,1,0.156256550388926,0.166666666666667,0.395292993093637,7.7,17.1,0.436480785296575,0.654267710679593
"16171","4","Scottish West Coast","Sprattus sprattus",1987.1,1,86.5,89.5,7,6,21,5,112.25,734.25,20,0.966480446927374,0.152877085461355,0.285714285714286,0.384386152041986,7.6,17.6,0.431755525176578,0.728674892691347
"16172","4","Scottish West Coast","Sprattus sprattus",1988.1,1,15.5,15.5,2,2,13,5,358,6157.1,13,1,0.0581442562245213,0.153846153846154,0.241131201267114,5.4,11.4,0.465201465201465,0.646765067520182
"16173","4","Scottish West Coast","Sprattus sprattus",1989.1,1,32,32,3,3,16,5,667,1296.833,16,1,0.514329909865033,0.1875,0.717167978834131,6,14,0.419473254213966,0.743010680211876
"16174","4","Scottish West Coast","Sprattus sprattus",1990.1,1,313.167,314.167,8,7,17,5,97.667,770.167,16,0.996816979504531,0.126812756194436,0.411764705882353,0.355540586420709,8,16,0.508142414860681,0.731992496760057
"16175","4","Scottish West Coast","Sprattus sprattus",1991.1,1,99.286,172.286,6,4,15,5,1031.428,1612.928,13,0.576285943141056,0.639475537655742,0.266666666666667,0.607059110246748,9.9,15.3,0.643511904761905,0.79962036670493
"16176","4","Scottish West Coast","Sprattus sprattus",1992.1,1,177.867,183.867,8,6,15,5,211.066,497.066,13,0.967367716882312,0.424623691823621,0.4,0.640911266318166,7.7,13.5,0.582524142524143,0.855326054209237
"16177","4","Scottish West Coast","Sprattus sprattus",1993.1,1,545.25,545.25,6,6,18,5,70,1490,18,1,0.0469798657718121,0.333333333333333,0.216748392777921,10.5,16.7,0.620123045169485,0.77496919876382
"16178","4","Scottish West Coast","Sprattus sprattus",1994.1,1,48.833,49.833,11,10,24,5,150.999,960.999,23,0.979932976140309,0.157127114596373,0.416666666666667,0.392395261233827,14.1,22.7,0.61853634085213,0.707102348325242
"16179","4","Scottish West Coast","Sprattus sprattus",1995.1,1,113,113,6,6,14,5,40.5,5359.5,14,1,0.00755667506297229,0.428571428571429,0.0869291381699617,7.2,12.4,0.586431623931624,0.557506552761886
"16180","4","Scottish West Coast","Sprattus sprattus",1996.1,1,338.25,351.25,9,8,24,5,150,5370.5,23,0.962989323843416,0.0279303603016479,0.333333333333333,0.164001947493275,13.3,21.9,0.604095783518317,0.62752993817537
"16181","4","Scottish West Coast","Sprattus sprattus",1997.1,1,1401.833,1415.833,17,16,34,5,179.834,1698.334,33,0.990111828160525,0.105888476589411,0.470588235294118,0.323792268494901,22.2,32.6,0.678177232578855,0.694932495095395
